iter	Passed	Remaining
602	13783	9074
603	13809	9054
604	13836	9033
605	13863	9013
606	13891	8993
607	13917	8973
608	13943	8952
609	13982	8939
610	14008	8918
611	14035	8898
612	14060	8876
613	14086	8855
614	14112	8834
615	14139	8814
616	14164	8792
617	14190	8771
618	14217	8751
619	14243	8730
620	14268	8708
621	14294	8686
622	14320	8666
623	14347	8644
624	14373	8623
625	14400	8603
626	14427	8582
627	14453	8561
628	14480	8540
629	14506	8519
630	14533	8498
631	14558	8477
632	14585	8456
633	14612	8435
634	14639	8414
635	14665	8393
636	14692	8372
637	14718	8351
638	14747	8331
639	14775	8311
640	14803	8291
641	14835	8272
642	14862	8251
643	14890	8231
644	14917	8210
645	14948	8191
646	14978	8172
647	15006	8151
648	15034	8131
649	15062	8110
650	15089	8089
651	15117	8068
652	15145	8048
653	15172	8026
654	15197	8005
655	15224	7983
656	15250	7961
657	15277	7940
658	15304	7919
659	15330	7897
660	15357	7876
661	15383	7854
662	15410	7832
663	15435	7810
664	15462	7789
665	15488	7767
666	15516	7746
667	15544	7725
668	15571	7704
669	15598	7682
670	15626	7661
671	15652	7640
672	15680	7618
673	15707	7597
674	15734	7575
675	15759	7553
676	15786	7531
677	15813	7510
678	15840	7488
679	15866	7466
680	15892	7444
681	15918	7422
682	15944	7400
683	15971	7378
684	15998	7356
685	16024	7334
686	16050	7312
687	16077	7290
688	16102	7268
689	16128	7246
690	16153	7223
691	16180	7201
692	16205	7179
693	16231	7156
694	16256	7133
695	16282	7111
696	16309	7090
697	16337	7068
698	16364	7046
699	16391	7025
700	16417	7002
701	16446	6981
702	16473	6959
703	16499	6937
704	16525	6914
705	16553	6893
706	16579	6870
707	16605	6848
708	16630	6825
709	16655	6802
710	16692	6785
711	16719	6763
712	16746	6740
713	16772	6718
714	16798	6695
715	16824	6673
716	16850	6650
717	16877	6628
718	16903	6606
719	16929	6583
720	16955	6561
721	16980	6538
722	17006	6515
723	17032	6493
724	17058	6470
725	17084	6447
726	17110	6425
727	17135	6402
728	17161	6379
729	17188	6357
730	17214	6334
731	17240	6312
732	17267	6289
733	17293	6267
734	17319	6244
735	17344	6221
736	17370	6198
737	17396	6175
738	17422	6153
739	17448	6130
740	17473	6107
741	17498	6084
742	17524	6061
743	17551	6039
744	17576	6016
745	17602	5993
746	17628	5970
747	17654	5947
748	17681	5925
749	17706	5902
750	17732	5879
751	17758	5856
752	17783	5833
753	17809	5810
754	17835	5787
755	17861	5764
756	17887	5741
757	17914	5719
758	17940	5696
759	17968	5674
760	17993	5651
761	18034	5632
762	18062	5610
763	18088	5587
764	18113	5564
765	18137	5540
766	18162	5517
767	18185	5493
768	18211	5470
769	18237	5447
770	18263	5424
771	18290	5401
772	18315	5378
773	18341	5355
774	18367	5332
775	18392	5309
776	18417	5285
777	18443	5262
778	18469	5239
779	18495	5216
780	18521	5193
781	18547	5170
782	18573	5147
783	18598	5124
784	18623	5100
785	18648	5077
786	18674	5054
787	18700	5031
788	18726	5008
789	18753	4985
790	18779	4961
791	18805	4938
792	18830	4915
793	18856	4892
794	18882	4869
795	18908	4845
796	18934	4822
797	18960	4799
798	18985	4776
799	19011	4752
800	19041	4730
801	19073	4708
802	19105	4687
803	19134	4664
804	19162	4641
805	19191	4619
806	19219	4596
807	19248	4573
808	19276	4550
809	19306	4528
810	19334	4505
811	19363	4483
812	19391	4460
813	19419	4437
814	19445	4414
815	19473	4391
816	19501	4368
817	19528	4344
818	19555	4321
819	19583	4298
820	19609	4275
821	19636	4252
822	19663	4229
823	19690	4205
824	19718	4182
825	19745	4159
826	19772	4136
827	19799	4112
828	19826	4089
829	19853	4066
830	19880	4043
831	19906	4019
832	19933	3996
833	19961	3973
834	19987	3949
835	20013	3926
836	20040	3902
837	20065	3879
